E100|Curcumin|Kurkumin
E101|Riboflavin|Riboflavin
E101a|Riboflavin-5'-phosphate|Riboflavin-5'-phosphat
E102|Tartrazine|Tartrazin
E104|Quinoline Yellow|Chinolingelb
E110|Sunset Yellow FCF|Gelborange S
E120|Cochineal / carmine|Echtes Karmin / Cochenille
E122|Azorubine|Azorubin
E123|Amaranth|Amaranth
E124|Ponceau 4R|Cochenillerot A
E127|Erythrosine|Erythrosin
E129|Allura Red AC|Allurarot AC
E131|Patent Blue V|Patentblau V
E132|Indigotine|Indigotin
E133|Brilliant Blue FCF|Brillantblau FCF
E140|Chlorophylls|Chlorophylle
E141|Copper complexes of chlorophylls|Kupferkomplexe der Chlorophylle
E142|Green S|Grün S
E150a|Plain caramel|Zuckerkulör
E150b|Caustic sulphite caramel|Sulfitlaugen-Zuckerkulör
E150c|Ammonia caramel|Ammoniak-Zuckerkulör
E150d|Sulphite ammonia caramel|Ammoniumsulfit-Zuckerkulör
E151|Brilliant Black BN|Brillantschwarz BN
E153|Vegetable carbon|Pflanzenkohle
E155|Brown HT|Braun HT
E160a|Carotenes|Carotine
E160b|Annatto / bixin / norbixin|Annatto / Bixin / Norbixin
E160c|Paprika extract|Paprikaextrakt
E160d|Lycopene|Lycopin
E160e|Beta-apo-8'-carotenal|Beta-Apo-8'-carotinal
E161b|Lutein|Lutein
E161g|Canthaxanthin|Canthaxanthin
E162|Beetroot red|Betenrot
E163|Anthocyanins|Anthocyane
E170|Calcium carbonate|Calciumcarbonat
E171|Titanium dioxide|Titandioxid
E172|Iron oxides|Eisenoxide
E173|Aluminium|Aluminium
E174|Silver|Silber
E175|Gold|Gold
E180|Litholrubine BK|Litholrubin BK
E200|Sorbic acid|Sorbinsäure
E202|Potassium sorbate|Kaliumsorbat
E210|Benzoic acid|Benzoesäure
E211|Sodium benzoate|Natriumbenzoat
E212|Potassium benzoate|Kaliumbenzoat
E213|Calcium benzoate|Calciumbenzoat
E214|Ethyl p-hydroxybenzoate|Ethyl-p-hydroxybenzoat
E215|Sodium ethyl p-hydroxybenzoate|Natriumethyl-p-hydroxybenzoat
E218|Methyl p-hydroxybenzoate|Methyl-p-hydroxybenzoat
E219|Sodium methyl p-hydroxybenzoate|Natriummethyl-p-hydroxybenzoat
E220|Sulphur dioxide|Schwefeldioxid
E221|Sodium sulphite|Natriumsulfit
E222|Sodium hydrogen sulphite|Natriumhydrogensulfit
E223|Sodium metabisulphite|Natriummetabisulfit
E224|Potassium metabisulphite|Kaliummetabisulfit
E226|Calcium sulphite|Calciumsulfit
E227|Calcium hydrogen sulphite|Calciumhydrogensulfit
E228|Potassium hydrogen sulphite|Kaliumhydrogensulfit
E234|Nisin|Nisin
E235|Natamycin|Natamycin
E239|Hexamethylene tetramine|Hexamethylentetramin
E242|Dimethyl dicarbonate|Dimethyldicarbonat
E243|Ethyl lauroyl arginate|Ethyllaurylarginat
E246|Glycolipids|Glycolipide
E249|Potassium nitrite|Kaliumnitrit
E250|Sodium nitrite|Natriumnitrit
E251|Sodium nitrate|Natriumnitrat
E252|Potassium nitrate|Kaliumnitrat
E260|Acetic acid|Essigsäure
E261|Potassium acetates|Kaliumacetate
E262|Sodium acetates|Natriumacetate
E263|Calcium acetate|Calciumacetat
E267|Buffered vinegar|Gepufferter Essig
E270|Lactic acid|Milchsäure
E280|Propionic acid|Propionsäure
E281|Sodium propionate|Natriumpropionat
E282|Calcium propionate|Calciumpropionat
E283|Potassium propionate|Kaliumpropionat
E284|Boric acid|Borsäure
E285|Sodium tetraborate|Natriuntetraborat
E290|Carbon dioxide|Kohlendioxid
E296|Malic acid|Äpfelsäure
E297|Fumaric acid|Fumarsäure
E300|Ascorbic acid|Ascorbinsäure
E301|Sodium ascorbate|Natriumascorbat
E302|Calcium ascorbate|Calciumascorbat
E304|Fatty acid esters of ascorbic acid|Fettsäureester der Ascorbinsäure
E306|Tocopherols|Tocopherole
E307|Alpha-tocopherol|Alpha-Tocopherol
E308|Gamma-tocopherol|Gamma-Tocopherol
E309|Delta-tocopherol|Delta-Tocopherol
E310|Propyl gallate|Propylgallat
E315|Erythorbic acid|Erythorbinsäure
E316|Sodium erythorbate|Natriumerythorbat
E319|Tertiary-butylhydroquinone|TBHQ
E320|Butylated hydroxyanisole|BHA
E321|Butylated hydroxytoluene|BHT
E322|Lecithins|Lecithine
E322a|Oat lecithin|Haferlecithin
E325|Sodium lactate|Natriumlactat
E326|Potassium lactate|Kaliumlactat
E327|Calcium lactate|Calciumlactat
E330|Citric acid|Citronensäure
E331|Sodium citrates|Natriumcitrate
E332|Potassium citrates|Kaliumcitrate
E333|Calcium citrates|Calciumcitrate
E334|Tartaric acid|Weinsäure
E335|Sodium tartrates|Natriumtartrate
E336|Potassium tartrates|Kaliumtartrate
E337|Sodium potassium tartrate|Natriumkaliumtartrat
E338|Phosphoric acid|Phosphorsäure
E339|Sodium phosphates|Natriumphosphate
E340|Potassium phosphates|Kaliumphosphate
E341|Calcium phosphates|Calciumphosphate
E343|Magnesium phosphates|Magnesiumphosphate
E345|Magnesium citrate|Magnesiumcitrat
E350|Sodium malates|Natriummalate
E351|Potassium malate|Kaliummalat
E352|Calcium malates|Calciummalate
E353|Metatartaric acid|Metaveinsäure
E354|Calcium tartrate|Calciumtartrat
E355|Adipic acid|Adipinsäure
E356|Sodium adipate|Natriumadipat
E357|Potassium adipate|Kaliumadipat
E363|Succinic acid|Bernsteinsäure
E380|Triammonium citrate|Triammoniumcitrat
E385|Calcium disodium EDTA|Calciumdinatrium-EDTA
E392|Extracts of rosemary|Rosmarinextrakt
E400|Alginic acid|Alginsäure
E401|Sodium alginate|Natriumalginat
